页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
5,4905239314961182,乱花渐欲迷我眼-,2023-05-25 11:00:50,#护心十五集前后不是一个编剧#最恶心的是开播后她上蹿下跳领功那段不是她写的，她写的稀烂的地方发了小作文后屁都不敢放一个。不明白作者为啥非要去当编剧，专业的事得让专业的人去做，上一个作者当编剧结果稀烂的还是八姐，人家就更牛了把导演都炒了 ,0,0,1,江西,赣州,江西,中国
5,4905239305522063,球球爱狗力,2023-05-25 11:00:48,#护心十五集前后不是一个编剧#前后一看就不是一个编剧的剧本，观众现在不好糊弄了，我不理解的是，九鹭非香怎么默认前面的十五集都是她的功劳啊？而且片头连署名都不给人家？编剧界都这么卷了吗？ ,0,0,1,辽宁,沈阳,辽宁,中国
5,4905239285073793,清心草莓可可茶,2023-05-25 11:00:43,#护心十五集前后不是一个编剧#不能否认护心好看啊，就是好看啊，剧情可以的，让人期待的。 ,0,0,0,黑龙江,绥化,黑龙江,中国
5,4905239248111531,漫漫星河有你,2023-05-25 11:00:34,#护心十五集前后不是一个编剧#原来如此前面是真不错，男女主也不错。 ,0,0,1,江苏,南通,江苏,中国
5,4905239247588200,高能剧综,2023-05-25 11:00:34,#护心编剧被区别对待#护心编剧被区别对待，大家都看了没？ ,0,0,1,,南阳,河南,中国
5,4905239206168872,甜崽公证处,2023-05-25 11:00:24,#护心十五集前后不是一个编剧#@九鹭非香 你要不会改，要么别改了，卖个书赚钱得了，还非得继续嚯嚯没事出来创亖观众，希望改编剧少一些创亖人的编剧，谢谢！ ,0,0,4,上海,上海,上海,中国
6,4905239189391814,Vixelunt-,2023-05-25 11:00:20,#护心十五集前后不是一个编剧#剧情看似一片向好 不代表被九鹭非香创过受的伤不存在 主线呢 取龙其他部位呢 现在一直搁这儿水水水  还有各种结印口诀也不知道还能不能看到了 真的是想起来就恨jlfx ,0,0,2,河南,郑州,河南,中国
6,4905223287996443,铁酱酱酱酱,2023-05-25 09:57:08,护心剧情后面出问题了？  #护心十五集前后不是一个编剧# ,1,32,167,浙江,杭州,浙江,中国
6,4905239154789723,黎相灵,2023-05-25 11:00:12,#护心十五集前后不是一个编剧#哦，所以呢，所以就这么急着倒油吗？不否认前面确实好看，可难道前面的剧情是她原创完成的吗？没有原著的基础吗？没见过这么着急倒油的，拿着人家原创小说改编仿佛别人欠了自己多大的债一样 ,0,1,0,云南,曲靖,云南,中国
6,4905239092923502,我又胖了biu,2023-05-25 10:59:57,#护心十五集前后不是一个编剧#剧情开始好起来了，咱再看看呗什么时候能破万啊，我想看小情侣合体跳舞 ,0,0,1,福建,莆田,福建,中国
6,4905239084012713,surpasse,2023-05-25 10:59:55,#护心十五集前后不是一个编剧#本来不准备看的，因为九鹭非香做编剧很厕品，现在知道不是一个编剧写的，决定去看一下前十五集。 ,0,2,2,云南,昆明,云南,中国
6,4905239075881921,友谊已走到尽头啦,2023-05-25 10:59:53,坏消息：《与凤行》的编剧也是九鹭非香。 好消息：《与凤行》是新丽的剧应该不会让九姐自由发挥。 #九鹭非香##护心编剧# ,0,5,5,福建,福州,福建,中国
6,4905212738800645,钮祜绿豆,2023-05-25 09:15:14,笑得我，护心21集剧情正常了点之后，侯明昊时隔几天终于又开始熬夜回复问题了好喜欢他关于和雁回假成亲那段暗爽那段的回复“欣喜是本能反应，但不是初衷，初衷是希望雁回平安自由”“守护雁回比守护爱情的结果更重要”老天啊，感觉小侯也不能懂中间那莫名其妙的剧情，才会说“情感上不能理解”，就是需要自己相信能理解才能表达啊……九鹭非香你真对不起这两人 #护心十五集前后不是一个编剧#,109,109,1885,四川,德阳,四川,中国
6,4905239067757995,今天吃兔子了嘛,2023-05-25 10:59:51,#护心十五集前后不是一个编剧#  呜呜，那就浅发一个工具人小白吧  （偷偷磕颜去啦） ,0,0,1,黑龙江,伊春,黑龙江,中国
6,4905239066444584,我的一个歌手朋友,2023-05-25 10:59:51,#护心十五集前后不是一个编剧##九鹭非香# “我挚爱之人，拔我龙鳞，剜我龙心，斩我龙角，抽我龙筋，拆我龙骨，禁我魂魄，将我肢解于大江南北，施大封印阵法，欲囚我永生永世……”他顿了顿，又饮了一口酒，嘴角依旧噙着笑，“她做那么多，只为给她挚爱之人，做一副龙鳞铠甲。护她心爱之人，长生不死。”你自己看看你写的这段原著， 再看看这部剧，你自己的心血你不心痛吗？？？,0,0,3,四川,成都,四川,中国
6,4905239046521203,爱吃芒果的爪子他娘,2023-05-25 10:59:45,#护心十五集前后不是一个编剧# 怪不得16 17集以后剧情又水又幼稚，人设也崩得厉害！ 前期明明男女主都有嘴，后面男主变成了锯了嘴的葫芦🙊男二无礼傲慢还绿茶。 前期的编剧还回得来吗 ,0,0,1,北京,北京,北京,中国
