页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
4,4905317773345839,Louella-aaaaaa,2023-05-25 16:12:36,#能开得起大女主古偶的女演员#孙俪，杨紫，杨幂，赵丽颖，别杠，杠就是你说的全对 ,0,2,21,辽宁,大连,辽宁,中国
4,4905309279093164,星姐微博,2023-05-25 15:38:50,#能开得起大女主古偶的女演员#  演员赵丽颖古装现代皆可，不限题材！ 去年带来两部口碑热剧《幸福到万家+风吹半夏》 期待新剧《与凤行》 #星姐微博# 星姐微博的微博视频 ,4,12,127,上海,上海,上海,中国
4,4905317606098907,爱吃橘子的657,2023-05-25 16:11:56,#能开得起大女主古偶的女演员#应该是刘亦菲赵丽颖杨幂刘诗诗 迪丽热巴好像没有大爆剧 ,0,0,5,江苏,盐城,江苏,中国
4,4905308956919831,与凤行沈璃是也,2023-05-25 15:37:34,#能开得起大女主古偶的女演员#为什么只挑选四位呢？咱们要放开眼界大胆的说啊，不要局限于四位啊！目前为止演过古偶女主的都可以算上表扬一下2022年赵丽颖的幸福到万家风吹半夏太优秀了，去年新华社一共采访了三部剧，赵丽颖占了两部。古今皆宜的大女主 ,0,0,35,湖北,黄冈,湖北,中国
4,4905317396388429,79号专业泰式,2023-05-25 16:11:06,#能开得起大女主古偶的女演员# 又来了，撑得起的不会在乎这些，撑不起的一定会抓紧认领还要死皮赖脸内涵撑得起的不配。 ,0,0,37,天津,天津,天津,中国
4,4905317382753905,人间理想主义接班人,2023-05-25 16:11:03,#能开得起大女主古偶的女演员#只要剧本演技好 无所谓是不是大女主 反正杨紫的剧什么题材我都是首选 ,0,0,11,甘肃,天水,甘肃,中国
4,4905317333471511,Waldpilz,2023-05-25 16:10:51,#能开得起大女主古偶的女演员#刘亦菲 赵丽颖 杨紫 赵露思吧 S+的剧一年比一年少 这行业比很多人想的还惨淡 ,0,0,5,北京,北京,北京,中国
4,4905317291261964,GUIJIAOBAOBI中,2023-05-25 16:10:40,#能开得起大女主古偶的女演员# 嘿嘿 发微博带迪丽热巴大名会触发角色投票 欢迎各位路人朋友选择一下我们美8的角色 ,0,1,4,广东,广州,广东,中国
5,4905299992908011,一枕春日红,2023-05-25 15:01:57,#能开得起大女主古偶的女演员# 首先，女性题材大女主题材电视剧对赵丽颖来说没有古偶现代正剧等标签的限制，姐都行你们随意。 ,69,80,1769,重庆,重庆,重庆,中国
5,4905317139743452,点点圈圈是圆圆,2023-05-25 16:10:05,#能开得起大女主古偶的女演员#赵丽颖！！！#赵丽颖沈璃##与凤行赵丽颖# ,0,0,14,山东,烟台,山东,中国
